cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
cord-000222,sha-814075,arXiv,epidemiology observational study in healthcare workers: a comprehensive analysis,10.1000/661337,PMC1227977,,cc-by-sa,This study investigates pandemic in the context of pandemic response. Methods included analysis of 863 participants over 2 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-05-14 14:00:39.619809906,"Author22, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,8401088283.0,,,,,https://example.com/paper/222,s2-936428928
cord-000223,sha-138665,Elsevier,SARS-CoV-2 case series in adults: a comprehensive analysis,10.1000/389965,PMC9106813,22616424.0,els-covid,This study investigates therapeutic in the context of pandemic response. Methods included analysis of 372 participants over 8 months. Results show significant findings related to therapeutic management and treatment outcomes.,2020-05-15 07:54:43.041520760,"Author23, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,,pmc_json/PMC4835995.json,https://example.com/paper/223,s2-445436523
cord-000224,sha-378101,medRxiv,vaccine cohort study in elderly: a comprehensive analysis,10.1000/982229,,36226802.0,arxiv,This study investigates antiviral in the context of pandemic response. Methods included analysis of 3553 participants over 7 months. Results show significant findings related to antiviral management and treatment outcomes.,2020-05-16 01:48:46.463231616,"Author24, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,,,,pdf_json/5824.json,pmc_json/PMC3031241.json,https://example.com/paper/224,s2-832673090
cord-000225,sha-932440,medRxiv,symptoms case series in patients: a comprehensive analysis,10.1000/785305,PMC4791838,46316160.0,els-covid,This study investigates antibody in the context of pandemic response. Methods included analysis of 3390 participants over 5 months. Results show significant findings related to antibody management and treatment outcomes.,2020-05-16 19:42:49.884942472,"Author25, J.; Smith, A.; Johnson, B.",Nature,,,arxiv:1550.9251,,,https://example.com/paper/225,s2-783370542
cord-000226,sha-948352,PMC,clinical systematic review in immunocompromised patients: a comprehensive analysis,10.1000/521626,PMC6489189,,els-covid,This study investigates clinical in the context of pandemic response. Methods included analysis of 1191 participants over 18 months. Results show significant findings related to clinical management and treatment outcomes.,2020-05-17 13:36:53.306653328,"Author26, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,5836605542.0,,,pdf_json/5180.json,pmc_json/PMC3152422.json,https://example.com/paper/226,s2-692022472
cord-000227,sha-883573,PMC,treatment systematic review in adults: a comprehensive analysis,10.1000/177734,PMC7735068,72919610.0,cc-by-sa,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 2947 participants over 2 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-05-18 07:30:56.728364182,"Author27, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,,pmc_json/PMC5470408.json,https://example.com/paper/227,s2-605423221
cord-000228,sha-788235,medRxiv,pandemic meta-analysis in pregnant women: a comprehensive analysis,10.1000/556982,PMC3878596,96378886.0,arxiv,This study investigates respiratory in the context of pandemic response. Methods included analysis of 2088 participants over 13 months. Results show significant findings related to respiratory management and treatment outcomes.,2020-05-19 01:25:00.150075038,"Author28, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,,pmc_json/PMC3789024.json,https://example.com/paper/228,s2-237071413
cord-000229,sha-213828,PMC,public health case series in children: a comprehensive analysis,10.1000/325962,PMC9507841,38554997.0,els-covid,This study investigates epidemiology in the context of pandemic response. Methods included analysis of 4320 participants over 12 months. Results show significant findings related to epidemiology management and treatment outcomes.,2020-05-19 19:19:03.571785894,"Author29, J.; Smith, A.; Johnson, B.",Virology,,WHO-706290,,,pmc_json/PMC8534767.json,https://example.com/paper/229,s2-321098643
cord-000230,sha-756986,Elsevier,treatment observational study in healthcare workers: a comprehensive analysis,10.1000/609622,,96978350.0,cc-by-sa,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 3232 participants over 23 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-05-20 13:13:06.993496748,"Author30, J.; Smith, A.; Johnson, B.",Virology,,,,pdf_json/2254.json,,https://example.com/paper/230,s2-541033864
cord-000231,sha-190815,arXiv,public health cross-sectional study in pregnant women: a comprehensive analysis,10.1000/500385,PMC9402477,,els-covid,This study investigates infection in the context of pandemic response. Methods included analysis of 4180 participants over 7 months. Results show significant findings related to infection management and treatment outcomes.,2020-05-21 07:07:10.415207604,"Author31, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,pdf_json/9111.json,pmc_json/PMC7229827.json,https://example.com/paper/231,s2-847945054
cord-000232,sha-294894,arXiv,coronavirus case series in adults: a comprehensive analysis,10.1000/459589,PMC2292334,45215282.0,cc-by-sa,This study investigates outbreak in the context of pandemic response. Methods included analysis of 4519 participants over 13 months. Results show significant findings related to outbreak management and treatment outcomes.,2020-05-22 01:01:13.836918460,"Author32, J.; Smith, A.; Johnson, B.",Journal of Virology,1665417951.0,,,,pmc_json/PMC3739194.json,https://example.com/paper/232,s2-877001197
cord-000233,sha-827773,bioRxiv,epidemiology meta-analysis in pregnant women: a comprehensive analysis,10.1000/628118,PMC5615743,70420219.0,arxiv,This study investigates immunity in the context of pandemic response. Methods included analysis of 1801 participants over 9 months. Results show significant findings related to immunity management and treatment outcomes.,2020-05-22 18:55:17.258629316,"Author33, J.; Smith, A.; Johnson, B.",JAMA,7396376796.0,,,pdf_json/2371.json,,https://example.com/paper/233,s2-555172891
cord-000234,sha-264714,Elsevier,clinical meta-analysis in adults: a comprehensive analysis,10.1000/973372,PMC8305023,,cc-by-nc,This study investigates covid-19 in the context of pandemic response. Methods included analysis of 4708 participants over 11 months. Results show significant findings related to covid-19 management and treatment outcomes.,2020-05-23 12:49:20.680340170,"Author34, J.; Smith, A.; Johnson, B.",Nature Communications,,,,,pmc_json/PMC7549327.json,https://example.com/paper/234,s2-446873127
cord-000235,sha-924743,PMC,transmission cross-sectional study in patients: a comprehensive analysis,10.1000/296339,,79286279.0,cc-by-sa,This study investigates public health in the context of pandemic response. Methods included analysis of 1923 participants over 12 months. Results show significant findings related to public health management and treatment outcomes.,2020-05-24 06:43:24.102051026,"Author35, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,pdf_json/9549.json,pmc_json/PMC8849376.json,https://example.com/paper/235,s2-374364284
cord-000236,sha-132356,PMC,coronavirus case series in children: a comprehensive analysis,10.1000/258829,PMC3677636,98192830.0,cc-by-sa,This study investigates covid-19 in the context of pandemic response. Methods included analysis of 3012 participants over 20 months. Results show significant findings related to covid-19 management and treatment outcomes.,2020-05-25 00:37:27.523761882,"Author36, J.; Smith, A.; Johnson, B.",Nature Communications,8048411915.0,,,,,https://example.com/paper/236,s2-608627813
cord-000237,sha-365953,bioRxiv,prevention systematic review in patients: a comprehensive analysis,10.1000/163867,,31005861.0,els-covid,This study investigates prevention in the context of pandemic response. Methods included analysis of 176 participants over 3 months. Results show significant findings related to prevention management and treatment outcomes.,2020-05-25 18:31:30.945472736,"Author37, J.; Smith, A.; Johnson, B.",Journal of Virology,1729263999.0,,,pdf_json/9088.json,pmc_json/PMC6851748.json,https://example.com/paper/237,s2-306596587
cord-000238,sha-921307,bioRxiv,antiviral case series in pregnant women: a comprehensive analysis,10.1000/789126,,57589380.0,arxiv,This study investigates symptoms in the context of pandemic response. Methods included analysis of 2689 participants over 6 months. Results show significant findings related to symptoms management and treatment outcomes.,2020-05-26 12:25:34.367183592,"Author38, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,7350518798.0,,,pdf_json/3783.json,,https://example.com/paper/238,s2-866775553
cord-000239,sha-865409,PMC,immunity case series in adults: a comprehensive analysis,10.1000/918851,,78233029.0,cc-by,This study investigates antibody in the context of pandemic response. Methods included analysis of 1416 participants over 22 months. Results show significant findings related to antibody management and treatment outcomes.,2020-05-27 06:19:37.788894448,"Author39, J.; Smith, A.; Johnson, B.",The Lancet,,WHO-239994,,,,https://example.com/paper/239,s2-663685762
cord-000240,sha-371609,PMC,diagnosis case series in pregnant women: a comprehensive analysis,10.1000/903100,,83222143.0,cc-by,This study investigates therapeutic in the context of pandemic response. Methods included analysis of 4129 participants over 3 months. Results show significant findings related to therapeutic management and treatment outcomes.,2020-05-28 00:13:41.210605304,"Author40, J.; Smith, A.; Johnson, B.",Science,9060963860.0,,arxiv:5984.1611,,,https://example.com/paper/240,s2-205189645
cord-000241,sha-821455,Elsevier,infection meta-analysis in adults: a comprehensive analysis,10.1000/509462,PMC9539032,43750416.0,cc-by-nc,This study investigates antibody in the context of pandemic response. Methods included analysis of 3679 participants over 8 months. Results show significant findings related to antibody management and treatment outcomes.,2020-05-28 18:07:44.632316158,"Author41, J.; Smith, A.; Johnson, B.",PLOS ONE,4961347369.0,WHO-838257,,,,https://example.com/paper/241,s2-856312016
cord-000242,sha-435988,bioRxiv,pandemic observational study in elderly: a comprehensive analysis,10.1000/124996,PMC5762347,21881497.0,arxiv,This study investigates immunity in the context of pandemic response. Methods included analysis of 1512 participants over 23 months. Results show significant findings related to immunity management and treatment outcomes.,2020-05-29 12:01:48.054027014,"Author42, J.; Smith, A.; Johnson, B.",Cell,2063631979.0,WHO-953605,,pdf_json/2515.json,pmc_json/PMC5881601.json,https://example.com/paper/242,s2-922197090
cord-000243,sha-296322,Elsevier,clinical systematic review in healthcare workers: a comprehensive analysis,10.1000/413456,PMC3431284,,cc-by-sa,This study investigates symptoms in the context of pandemic response. Methods included analysis of 4230 participants over 9 months. Results show significant findings related to symptoms management and treatment outcomes.,2020-05-30 05:55:51.475737870,"Author43, J.; Smith, A.; Johnson, B.",Journal of Virology,,,,,pmc_json/PMC9101729.json,https://example.com/paper/243,s2-180737603
cord-000244,sha-973321,PMC,diagnosis systematic review in patients: a comprehensive analysis,10.1000/758425,PMC4619820,39556294.0,cc-by,This study investigates covid-19 in the context of pandemic response. Methods included analysis of 4808 participants over 19 months. Results show significant findings related to covid-19 management and treatment outcomes.,2020-05-30 23:49:54.897448724,"Author44, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,,,,pdf_json/8786.json,,https://example.com/paper/244,s2-370879790
cord-000245,sha-639538,medRxiv,outbreak cross-sectional study in immunocompromised patients: a comprehensive analysis,10.1000/372611,PMC8655628,70772819.0,cc-by-nc,This study investigates infection in the context of pandemic response. Methods included analysis of 1425 participants over 13 months. Results show significant findings related to infection management and treatment outcomes.,2020-05-31 17:43:58.319159580,"Author45, J.; Smith, A.; Johnson, B.",Nature,,,,,pmc_json/PMC2384943.json,https://example.com/paper/245,s2-119815005
cord-000246,sha-146023,medRxiv,COVID-19 case series in pregnant women: a comprehensive analysis,10.1000/341452,PMC8584997,46605179.0,arxiv,This study investigates infection in the context of pandemic response. Methods included analysis of 3779 participants over 23 months. Results show significant findings related to infection management and treatment outcomes.,2020-06-01 11:38:01.740870436,"Author46, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,,,,,,https://example.com/paper/246,s2-391809973
cord-000247,sha-725638,PMC,coronavirus cross-sectional study in patients: a comprehensive analysis,10.1000/776367,,,cc-by-nc,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 3346 participants over 21 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-06-02 05:32:05.162581292,"Author47, J.; Smith, A.; Johnson, B.",BMJ,,,,,pmc_json/PMC6725099.json,https://example.com/paper/247,s2-243074233
cord-000248,sha-277696,bioRxiv,infection meta-analysis in healthcare workers: a comprehensive analysis,10.1000/823439,PMC3596279,73626393.0,cc-by,This study investigates treatment in the context of pandemic response. Methods included analysis of 1932 participants over 13 months. Results show significant findings related to treatment management and treatment outcomes.,2020-06-02 23:26:08.584292146,"Author48, J.; Smith, A.; Johnson, B.",JAMA,,WHO-960443,,,pmc_json/PMC5723081.json,https://example.com/paper/248,s2-728188861
cord-000249,sha-640715,medRxiv,therapeutic cohort study in children: a comprehensive analysis,10.1000/390846,PMC2228391,14383305.0,els-covid,This study investigates immunity in the context of pandemic response. Methods included analysis of 3209 participants over 19 months. Results show significant findings related to immunity management and treatment outcomes.,2020-06-03 17:20:12.006003002,"Author49, J.; Smith, A.; Johnson, B.",Nature Communications,,,arxiv:2023.9513,pdf_json/4552.json,pmc_json/PMC5799866.json,https://example.com/paper/249,s2-459785958
cord-000250,sha-526492,bioRxiv,symptoms clinical trial in children: a comprehensive analysis,10.1000/718657,,45491168.0,els-covid,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 4825 participants over 19 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-06-04 11:14:15.427713858,"Author50, J.; Smith, A.; Johnson, B.",The Lancet,2249234077.0,,,pdf_json/9413.json,pmc_json/PMC1021118.json,https://example.com/paper/250,s2-918849330
cord-000251,sha-958075,medRxiv,pandemic clinical trial in healthcare workers: a comprehensive analysis,10.1000/699857,,58619879.0,arxiv,This study investigates respiratory in the context of pandemic response. Methods included analysis of 1123 participants over 16 months. Results show significant findings related to respiratory management and treatment outcomes.,2020-06-05 05:08:18.849424712,"Author51, J.; Smith, A.; Johnson, B.",Nature Medicine,9941365668.0,,,,,https://example.com/paper/251,s2-954673101
cord-000252,sha-310084,bioRxiv,epidemiology meta-analysis in children: a comprehensive analysis,10.1000/416096,PMC2369693,74910771.0,cc-by-nc,This study investigates clinical in the context of pandemic response. Methods included analysis of 2444 participants over 6 months. Results show significant findings related to clinical management and treatment outcomes.,2020-06-05 23:02:22.271135568,"Author52, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,,,,pdf_json/4411.json,,https://example.com/paper/252,s2-265068591
cord-000253,sha-234511,medRxiv,vaccine systematic review in children: a comprehensive analysis,10.1000/658457,PMC3465254,,cc-by-sa,This study investigates transmission in the context of pandemic response. Methods included analysis of 4390 participants over 13 months. Results show significant findings related to transmission management and treatment outcomes.,2020-06-06 16:56:25.692846424,"Author53, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,8120469561.0,,,,,https://example.com/paper/253,s2-700337228
cord-000254,sha-579064,bioRxiv,prevention systematic review in patients: a comprehensive analysis,10.1000/116829,,31332012.0,cc-by,This study investigates symptoms in the context of pandemic response. Methods included analysis of 2209 participants over 13 months. Results show significant findings related to symptoms management and treatment outcomes.,2020-06-07 10:50:29.114557280,"Author54, J.; Smith, A.; Johnson, B.",Nature Communications,,WHO-364278,arxiv:9068.9641,pdf_json/4670.json,pmc_json/PMC6420213.json,https://example.com/paper/254,s2-928762038
cord-000255,sha-842691,Elsevier,clinical case series in children: a comprehensive analysis,10.1000/104522,PMC2859093,,els-covid,This study investigates antibody in the context of pandemic response. Methods included analysis of 3298 participants over 23 months. Results show significant findings related to antibody management and treatment outcomes.,2020-06-08 04:44:32.536268134,"Author55, J.; Smith, A.; Johnson, B.",Nature Microbiology,3482663381.0,WHO-927811,,pdf_json/7285.json,pmc_json/PMC7705114.json,https://example.com/paper/255,s2-783341948
cord-000256,sha-178672,bioRxiv,therapeutic case series in adults: a comprehensive analysis,10.1000/972119,PMC1792047,33684821.0,els-covid,This study investigates clinical in the context of pandemic response. Methods included analysis of 3879 participants over 21 months. Results show significant findings related to clinical management and treatment outcomes.,2020-06-08 22:38:35.957978990,"Author56, J.; Smith, A.; Johnson, B.",JAMA,1591845532.0,,,,pmc_json/PMC7015105.json,https://example.com/paper/256,s2-497711571
cord-000257,sha-572919,Elsevier,outbreak observational study in adults: a comprehensive analysis,10.1000/528535,PMC8712940,68903248.0,cc-by-nc,This study investigates prevention in the context of pandemic response. Methods included analysis of 77 participants over 9 months. Results show significant findings related to prevention management and treatment outcomes.,2020-06-09 16:32:39.379689846,"Author57, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,,,https://example.com/paper/257,s2-207472240
cord-000258,sha-117300,Elsevier,antiviral clinical trial in elderly: a comprehensive analysis,10.1000/482478,PMC3994677,97582096.0,els-covid,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 4203 participants over 18 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-06-10 10:26:42.801400700,"Author58, J.; Smith, A.; Johnson, B.",Nature Communications,1251766576.0,,,pdf_json/7489.json,,https://example.com/paper/258,s2-291607728
cord-000259,sha-422433,PMC,vaccine cross-sectional study in patients: a comprehensive analysis,10.1000/218576,,71540230.0,cc-by-nc,This study investigates transmission in the context of pandemic response. Methods included analysis of 2231 participants over 11 months. Results show significant findings related to transmission management and treatment outcomes.,2020-06-11 04:20:46.223111556,"Author59, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,,,,,pmc_json/PMC7405136.json,https://example.com/paper/259,s2-780074135
cord-000260,sha-510398,Elsevier,SARS-CoV-2 clinical trial in pregnant women: a comprehensive analysis,10.1000/596336,,38106407.0,cc-by,This study investigates antiviral in the context of pandemic response. Methods included analysis of 951 participants over 13 months. Results show significant findings related to antiviral management and treatment outcomes.,2020-06-11 22:14:49.644822412,"Author60, J.; Smith, A.; Johnson, B.",Cell,,,,,,https://example.com/paper/260,s2-481390089
cord-000261,sha-563723,arXiv,epidemiology observational study in adults: a comprehensive analysis,10.1000/261545,,,cc-by-nc,This study investigates infection in the context of pandemic response. Methods included analysis of 1727 participants over 2 months. Results show significant findings related to infection management and treatment outcomes.,2020-06-12 16:08:53.066533268,"Author61, J.; Smith, A.; Johnson, B.",Journal of Virology,2086259916.0,,,,pmc_json/PMC8355618.json,https://example.com/paper/261,s2-258587014
cord-000262,sha-544128,Elsevier,vaccine cross-sectional study in patients: a comprehensive analysis,10.1000/894131,PMC1623521,17267784.0,els-covid,This study investigates symptoms in the context of pandemic response. Methods included analysis of 4916 participants over 23 months. Results show significant findings related to symptoms management and treatment outcomes.,2020-06-13 10:02:56.488244122,"Author62, J.; Smith, A.; Johnson, B.",Nature,,WHO-642852,,,,https://example.com/paper/262,s2-703068275
cord-000263,sha-119659,bioRxiv,COVID-19 clinical trial in immunocompromised patients: a comprehensive analysis,10.1000/168165,,14399775.0,cc-by-nc,This study investigates coronavirus in the context of pandemic response. Methods included analysis of 1298 participants over 19 months. Results show significant findings related to coronavirus management and treatment outcomes.,2020-06-14 03:56:59.909954978,"Author63, J.; Smith, A.; Johnson, B.",Nature,,,,pdf_json/4600.json,,https://example.com/paper/263,s2-470551568
cord-000264,sha-786763,Elsevier,prevention observational study in adults: a comprehensive analysis,10.1000/533671,,33838736.0,els-covid,This study investigates epidemiology in the context of pandemic response. Methods included analysis of 1314 participants over 20 months. Results show significant findings related to epidemiology management and treatment outcomes.,2020-06-14 21:51:03.331665834,"Author64, J.; Smith, A.; Johnson, B.",JAMA,,,,,pmc_json/PMC7668691.json,https://example.com/paper/264,s2-173679637
cord-000265,sha-345259,bioRxiv,prevention case series in patients: a comprehensive analysis,10.1000/699980,PMC1904600,41640377.0,arxiv,This study investigates antibody in the context of pandemic response. Methods included analysis of 1108 participants over 1 months. Results show significant findings related to antibody management and treatment outcomes.,2020-06-15 15:45:06.753376688,"Author65, J.; Smith, A.; Johnson, B.",Nature Medicine,8597408218.0,,,,pmc_json/PMC4465911.json,https://example.com/paper/265,s2-222820922
cord-000266,sha-526802,bioRxiv,SARS-CoV-2 systematic review in elderly: a comprehensive analysis,10.1000/641729,,88648349.0,els-covid,This study investigates pandemic in the context of pandemic response. Methods included analysis of 4298 participants over 13 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-06-16 09:39:10.175087544,"Author66, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,,,,pdf_json/7297.json,pmc_json/PMC9395380.json,https://example.com/paper/266,s2-256999979
cord-000267,sha-110360,arXiv,COVID-19 case series in immunocompromised patients: a comprehensive analysis,10.1000/130716,PMC6743809,15167282.0,els-covid,This study investigates prevention in the context of pandemic response. Methods included analysis of 4653 participants over 11 months. Results show significant findings related to prevention management and treatment outcomes.,2020-06-17 03:33:13.596798400,"Author67, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,5799213911.0,,,pdf_json/5690.json,pmc_json/PMC2194295.json,https://example.com/paper/267,s2-319475722
cord-000268,sha-907856,Elsevier,antiviral meta-analysis in patients: a comprehensive analysis,10.1000/686463,,65040633.0,els-covid,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 4490 participants over 16 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-06-17 21:27:17.018509256,"Author68, J.; Smith, A.; Johnson, B.",JAMA,1636032430.0,,,,pmc_json/PMC6259384.json,https://example.com/paper/268,s2-905258537
cord-000269,sha-722323,Elsevier,vaccine cross-sectional study in adults: a comprehensive analysis,10.1000/106834,PMC6233643,78309303.0,arxiv,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 270 participants over 19 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-06-18 15:21:20.440220110,"Author69, J.; Smith, A.; Johnson, B.",Virology,,,arxiv:7280.3882,pdf_json/8226.json,,https://example.com/paper/269,s2-452966934
cord-000270,sha-603447,medRxiv,antiviral observational study in adults: a comprehensive analysis,10.1000/616853,PMC2040397,27129996.0,cc-by-sa,This study investigates public health in the context of pandemic response. Methods included analysis of 4673 participants over 22 months. Results show significant findings related to public health management and treatment outcomes.,2020-06-19 09:15:23.861930966,"Author70, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,WHO-766750,,pdf_json/8614.json,pmc_json/PMC4324672.json,https://example.com/paper/270,s2-957788789
cord-000271,sha-148791,medRxiv,vaccine case series in adults: a comprehensive analysis,10.1000/361609,PMC4115005,76078145.0,els-covid,This study investigates public health in the context of pandemic response. Methods included analysis of 2938 participants over 1 months. Results show significant findings related to public health management and treatment outcomes.,2020-06-20 03:09:27.283641822,"Author71, J.; Smith, A.; Johnson, B.",Journal of Virology,,,,,,https://example.com/paper/271,s2-358455483
cord-000272,sha-496281,PMC,respiratory clinical trial in elderly: a comprehensive analysis,10.1000/118179,,,cc-by-sa,This study investigates respiratory in the context of pandemic response. Methods included analysis of 4036 participants over 1 months. Results show significant findings related to respiratory management and treatment outcomes.,2020-06-20 21:03:30.705352676,"Author72, J.; Smith, A.; Johnson, B.",Nature Communications,1756520399.0,,,pdf_json/9250.json,pmc_json/PMC8271889.json,https://example.com/paper/272,s2-128900053
cord-000273,sha-824155,bioRxiv,prevention case series in pregnant women: a comprehensive analysis,10.1000/388363,PMC6660928,48522122.0,cc-by,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 1921 participants over 12 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-06-21 14:57:34.127063532,"Author73, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,6482804118.0,,,,,https://example.com/paper/273,s2-480214759
cord-000274,sha-608810,arXiv,transmission cohort study in patients: a comprehensive analysis,10.1000/203153,PMC7454935,,cc-by-nc,This study investigates symptoms in the context of pandemic response. Methods included analysis of 1512 participants over 18 months. Results show significant findings related to symptoms management and treatment outcomes.,2020-06-22 08:51:37.548774388,"Author74, J.; Smith, A.; Johnson, B.",Nature Medicine,8340471421.0,WHO-250672,,,,https://example.com/paper/274,s2-794814781
cord-000275,sha-374444,medRxiv,public health case series in adults: a comprehensive analysis,10.1000/771142,,54681319.0,cc-by-sa,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 394 participants over 13 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-06-23 02:45:40.970485244,"Author75, J.; Smith, A.; Johnson, B.",Nature Microbiology,,WHO-701766,,,pmc_json/PMC9661179.json,https://example.com/paper/275,s2-867679342
cord-000276,sha-657658,Elsevier,pandemic cohort study in patients: a comprehensive analysis,10.1000/574579,PMC8657273,45947510.0,cc-by,This study investigates antiviral in the context of pandemic response. Methods included analysis of 2118 participants over 6 months. Results show significant findings related to antiviral management and treatment outcomes.,2020-06-23 20:39:44.392196098,"Author76, J.; Smith, A.; Johnson, B.",Science,3502957107.0,WHO-341626,arxiv:6038.7799,pdf_json/1577.json,,https://example.com/paper/276,s2-924063029
cord-000277,sha-825191,PMC,prevention clinical trial in children: a comprehensive analysis,10.1000/878263,,44310823.0,cc-by-nc,This study investigates transmission in the context of pandemic response. Methods included analysis of 1564 participants over 7 months. Results show significant findings related to transmission management and treatment outcomes.,2020-06-24 14:33:47.813906954,"Author77, J.; Smith, A.; Johnson, B.",Nature Microbiology,8995469674.0,,,,,https://example.com/paper/277,s2-892643921
cord-000278,sha-127209,arXiv,symptoms cross-sectional study in healthcare workers: a comprehensive analysis,10.1000/699255,PMC7648561,55024505.0,els-covid,This study investigates respiratory in the context of pandemic response. Methods included analysis of 1083 participants over 20 months. Results show significant findings related to respiratory management and treatment outcomes.,2020-06-25 08:27:51.235617810,"Author78, J.; Smith, A.; Johnson, B.",Cell,5033658178.0,,,,pmc_json/PMC1252385.json,https://example.com/paper/278,s2-341384300
cord-000279,sha-601503,Elsevier,SARS-CoV-2 cohort study in pregnant women: a comprehensive analysis,10.1000/988886,PMC7399177,29433379.0,els-covid,This study investigates epidemiology in the context of pandemic response. Methods included analysis of 2697 participants over 20 months. Results show significant findings related to epidemiology management and treatment outcomes.,2020-06-26 02:21:54.657328664,"Author79, J.; Smith, A.; Johnson, B.",Virology,3639337604.0,,,,,https://example.com/paper/279,s2-740709081
cord-000280,sha-383071,Elsevier,coronavirus observational study in healthcare workers: a comprehensive analysis,10.1000/633784,,55289925.0,els-covid,This study investigates transmission in the context of pandemic response. Methods included analysis of 528 participants over 15 months. Results show significant findings related to transmission management and treatment outcomes.,2020-06-26 20:15:58.079039520,"Author80, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,1461044535.0,WHO-489130,arxiv:2346.7997,pdf_json/4640.json,,https://example.com/paper/280,s2-269685103
cord-000281,sha-658867,bioRxiv,immunity systematic review in pregnant women: a comprehensive analysis,10.1000/844227,,45578681.0,arxiv,This study investigates pandemic in the context of pandemic response. Methods included analysis of 4336 participants over 8 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-06-27 14:10:01.500750376,"Author81, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,,WHO-687256,,,,https://example.com/paper/281,s2-100332765
cord-000282,sha-603623,bioRxiv,immunity case series in pregnant women: a comprehensive analysis,10.1000/794598,PMC4358538,97755615.0,arxiv,This study investigates transmission in the context of pandemic response. Methods included analysis of 2718 participants over 9 months. Results show significant findings related to transmission management and treatment outcomes.,2020-06-28 08:04:04.922461232,"Author82, J.; Smith, A.; Johnson, B.",Virology,6947115068.0,WHO-205130,,pdf_json/6419.json,,https://example.com/paper/282,s2-975453708
cord-000283,sha-895464,medRxiv,prevention cross-sectional study in immunocompromised patients: a comprehensive analysis,10.1000/146025,PMC7701447,47017324.0,arxiv,This study investigates pandemic in the context of pandemic response. Methods included analysis of 3330 participants over 16 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-06-29 01:58:08.344172088,"Author83, J.; Smith, A.; Johnson, B.",The Lancet,,WHO-473377,,pdf_json/1266.json,pmc_json/PMC7974201.json,https://example.com/paper/283,s2-105323075
cord-000284,sha-717542,medRxiv,diagnosis case series in adults: a comprehensive analysis,10.1000/360281,PMC5264991,25167107.0,arxiv,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 3382 participants over 20 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-06-29 19:52:11.765882944,"Author84, J.; Smith, A.; Johnson, B.",BMJ,4647127614.0,,,,,https://example.com/paper/284,s2-956851050
cord-000285,sha-964845,Elsevier,outbreak clinical trial in elderly: a comprehensive analysis,10.1000/422030,PMC5881923,19159210.0,cc-by,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 1731 participants over 15 months. Results show significant findings related to diagnosis management and treatment outcomes.,2020-06-30 13:46:15.187593796,"Author85, J.; Smith, A.; Johnson, B.",JAMA,1065380010.0,,arxiv:2391.3172,,pmc_json/PMC3625697.json,https://example.com/paper/285,s2-746206234
